start_time,innode,inqueue,status,node_1_start,node_1_end,node_2_start,node_2_end,node_3_start,node_3_end,node_4_start,node_4_end,node_5_start,node_5_end
7184.837214656234,5,0,4,7185.516897942627,7185.682868322893,7186.509067513219,7186.810024857731,7187.415270421411,7187.471707666067,7189.362379498362,7189.468552670942,7190.658128134511,7190.664084186093
7185.60979420719,4,0,3,7185.682868322893,7185.790034097651,7186.810024857731,7187.079494886261,7187.471707666067,7188.132340754273,7189.468552670942,7189.5504016941595,-1.0,-1.0
7187.294129874174,4,0,3,7187.294129874174,7187.638594351935,7187.638594351935,7188.317146823049,7188.317146823049,7188.4074753603845,7189.5504016941595,7189.760905118065,-1.0,-1.0
7187.973732727031,3,0,3,7187.973732727031,7188.08232572236,7188.317146823049,7188.604767558704,7188.604767558704,7189.208946891338,-1.0,-1.0,-1.0,-1.0
7190.771787986555,5,0,4,7190.771787986555,7191.221619298619,7191.221619298619,7191.8088578372,7191.8088578372,7193.046356428896,7193.046356428896,7193.789866699105,7193.789866699105,7194.208991106023
7191.056160058165,5,0,4,7191.221619298619,7192.355962547417,7192.355962547417,7192.707292766247,7193.046356428896,7193.256301366549,7193.789866699105,7193.943549314561,7194.208991106023,7194.523618749612
7191.336909476361,5,0,4,7192.355962547417,7192.913084516482,7192.913084516482,7193.172921470594,7193.256301366549,7193.791629720148,7193.943549314561,7195.365728221369,7195.365728221369,7195.615554515367
7191.664891722526,5,0,4,7192.913084516482,7195.5826944213495,7195.5826944213495,7196.045823072914,7196.045823072914,7196.380811030014,7196.380811030014,7196.665216739121,7196.665216739121,7197.703304010421
7192.115268412115,5,0,4,7195.5826944213495,7197.947858869245,7197.947858869245,7198.741658237619,7198.741658237619,7199.147895513043,7199.147895513043,7199.822491957178,7199.822491957178,7200.66793135862
7192.577005910379,5,0,4,7197.947858869245,7198.106285694165,7198.741658237619,7199.033048980562,7199.147895513043,7200.020661339569,7200.020661339569,7201.0106287786375,7201.0106287786375,7201.810716678305
7192.684764244075,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7192.804126191054,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7194.464021780453,5,0,4,7198.106285694165,7198.434994142538,7199.033048980562,7199.239756425855,7200.020661339569,7200.172227744184,7201.0106287786375,7201.011824312851,7201.810716678305,7202.057174301846
7194.960583296037,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7195.119243878972,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7195.530621261137,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7196.65330226796,5,0,4,7198.434994142538,7199.387427935607,7199.387427935607,7200.094712452817,7200.172227744184,7200.40306996736,7201.011824312851,7201.8027164589585,7202.057174301846,7202.280317542156
7197.371397246307,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
7199.081338511815,5,0,4,7199.387427935607,7200.434566754348,7200.434566754348,7200.458117142419,7200.458117142419,7200.580141916703,7201.8027164589585,7204.025472534968,7204.025472534968,7204.070093862877
7200.204093512134,5,0,4,7200.434566754348,7200.978528050006,7200.978528050006,7201.74103395182,7201.74103395182,7203.696929585082,7204.025472534968,7205.342541595102,7205.342541595102,7205.579528352642
7200.401881198756,5,0,4,7200.978528050006,7201.636421677749,7201.74103395182,7202.128348728952,7203.696929585082,7204.217992516681,7205.342541595102,7206.058897902242,7206.058897902242,7206.661053420968
7201.316936955986,5,0,4,7201.636421677749,7201.715294695572,7202.128348728952,7202.569731437559,7204.217992516681,7205.242746358245,7206.058897902242,7206.191282168926,7206.661053420968,7207.512104124457
7201.9794438781255,5,0,4,7201.9794438781255,7203.6457450183125,7203.6457450183125,7203.822765651933,7205.242746358245,7205.821339336939,7206.191282168926,7206.577989212851,7207.512104124457,7207.5373164065895
