start_time,innode,inqueue,status,node_1_start,node_1_end,node_2_start,node_2_end,node_3_start,node_3_end,node_4_start,node_4_end,node_5_start,node_5_end,node_6_start,node_6_end
4846.434309096617,4,0,3,4846.860993444192,4847.606018882132,4847.606018882132,4847.830538022635,4849.109189848346,4849.523783195575,4849.620408997886,4850.247109845238,-1.0,-1.0,-1.0,-1.0
4846.714392720915,5,0,3,4847.606018882132,4849.480448022863,4849.480448022863,4849.915023068517,4849.915023068517,4850.834267498366,4850.834267498366,4854.027039249681,4854.027039249681,4854.388703208038,-1.0,-1.0
4848.602714622487,5,0,3,4849.480448022863,4849.795681947297,4849.915023068517,4850.6049033594,4850.834267498366,4850.96246192573,4854.027039249681,4854.096534212498,4854.388703208038,4854.956010091298,-1.0,-1.0
4851.266580526596,6,0,4,4851.266580526596,4851.740699602799,4851.740699602799,4852.309090664122,4852.309090664122,4852.593569476476,4854.096534212498,4856.542397804161,4856.542397804161,4858.92010909381,4858.92010909381,4860.459249522679
4852.922442719238,6,0,4,4852.922442719238,4854.5690303582005,4854.5690303582005,4856.454099037181,4856.454099037181,4857.231491879537,4857.231491879537,4857.786690661011,4858.92010909381,4858.928349829797,4860.459249522679,4860.541289139799
4854.687964022397,6,0,4,4854.687964022397,4854.95669656459,4856.454099037181,4856.766863645206,4857.231491879537,4858.758246302983,4858.758246302983,4858.910057965048,4858.928349829797,4859.520618072046,4860.541289139799,4861.415372401889
4855.0852777721775,6,0,4,4855.0852777721775,4855.475984340682,4856.766863645206,4857.668638666975,4858.758246302983,4859.985406852983,4859.985406852983,4860.264108401576,4860.264108401576,4861.107092714697,4861.415372401889,4861.425014216451
4855.692856938174,6,0,4,4855.692856938174,4856.760178798447,4857.668638666975,4859.039818504924,4859.985406852983,4860.828978773854,4860.828978773854,4861.282783473335,4861.282783473335,4861.922227446186,4861.922227446186,4863.076336887316
4857.251885983158,6,0,4,4857.251885983158,4857.507794798402,4859.039818504924,4860.145627234051,4860.828978773854,4861.796039022522,4861.796039022522,4863.52199831894,4863.52199831894,4864.752994636078,4864.752994636078,4865.812334978286
4857.3760733674435,6,0,4,4857.507794798402,4864.646049265875,4864.646049265875,4865.296588693197,4865.296588693197,4865.323909075184,4865.323909075184,4865.875523544947,4865.875523544947,4866.580362960958,4866.580362960958,4866.803503464288
4857.882340890796,6,0,4,4864.646049265875,4864.9955081280505,4865.296588693197,4865.727557535433,4865.727557535433,4867.686134318617,4867.686134318617,4867.885143271999,4867.885143271999,4868.604678254499,4868.604678254499,4870.539707530544
4857.993855958504,6,0,4,4864.9955081280505,4867.767730553877,4867.767730553877,4868.286960289844,4868.286960289844,4869.8363451450105,4869.8363451450105,4870.247645311548,4870.247645311548,4871.631292070267,4871.631292070267,4871.731453935614
4858.23953809085,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4858.342762757287,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4858.489839005159,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4860.902604625996,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4861.022930007054,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4862.269761551884,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4862.375578706946,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4864.71043748855,6,0,4,4867.767730553877,4868.362584436829,4868.362584436829,4868.372015018361,4869.8363451450105,4870.718921119157,4870.718921119157,4871.082206124785,4871.631292070267,4874.561092240629,4874.561092240629,4874.793368706237
4864.856342069793,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4865.031308885136,6,0,4,4868.362584436829,4868.468010490474,4868.468010490474,4869.131550979551,4870.718921119157,4870.850644264865,4871.082206124785,4872.542974606542,4874.561092240629,4874.845065796876,4874.845065796876,4875.203191818246
4866.090112489872,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4866.892945591809,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4867.377330370973,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4869.062259365064,6,0,4,4869.062259365064,4869.5279090984495,4869.5279090984495,4870.190714449228,4870.850644264865,4871.2441034981675,4872.542974606542,4873.153746172917,4874.845065796876,4875.637769160516,4875.637769160516,4875.825811911839
4869.469133777516,6,0,4,4869.5279090984495,4869.710601919968,4870.190714449228,4872.383200227843,4872.383200227843,4872.881096565624,4873.153746172917,4874.652484418511,4875.637769160516,4876.693177986488,4876.693177986488,4877.187392893124
4870.211090481056,6,0,4,4870.211090481056,4871.295298544858,4872.383200227843,4873.325717993397,4873.325717993397,4873.524716609156,4874.652484418511,4874.855733586104,4876.693177986488,4877.909642664644,4877.909642664644,4877.979310918503
4870.879999752643,4,0,3,4871.295298544858,4871.817464365348,4873.325717993397,4873.328532691241,4873.524716609156,4873.606635600794,4874.855733586104,4875.102588543293,-1.0,-1.0,-1.0,-1.0
4871.114973027957,3,0,3,4871.817464365348,4873.413365289189,4873.413365289189,4873.955775597717,4873.955775597717,4873.963662338039,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4872.7611574593675,3,0,3,4873.413365289189,4873.581825316554,4873.955775597717,4874.462550805597,4874.462550805597,4874.643284402787,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4872.812008316991,6,0,4,4873.581825316554,4875.161712042397,4875.161712042397,4875.782169384159,4875.782169384159,4876.417911933398,4876.417911933398,4877.645130528344,4877.909642664644,4878.643942930439,4878.643942930439,4880.9635472053515
4873.296485963209,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
4873.940727854836,6,0,4,4875.161712042397,4877.573970384654,4877.573970384654,4878.096304948966,4878.096304948966,4880.17014924826,4880.17014924826,4882.509007944207,4882.509007944207,4883.347269353253,4883.347269353253,4883.921585214613
4874.411091142098,6,0,4,4877.573970384654,4878.5088658550685,4878.5088658550685,4879.194764074923,4880.17014924826,4880.471017861172,4882.509007944207,4882.761887856284,4883.347269353253,4883.779442322487,4883.921585214613,4885.037002172193
4876.726804003582,6,0,4,4878.5088658550685,4879.814381483859,4879.814381483859,4879.839261195509,4880.471017861172,4880.508013146922,4882.761887856284,4883.070775421546,4883.779442322487,4885.48801689771,4885.48801689771,4887.657331764871
4876.941748197478,0,0,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
